"Color Name";"Color Number";"Hex";"RGB"
"Frostine";"AF-5";"#EFF2EC";"rgb(239, 242, 236)"
"Gardenia";"AF-10";"#F4F1EA";"rgb(244, 241, 234)"
"Steam";"AF-15";"#F1F0E7";"rgb(241, 240, 231)"
"Mascarpone";"AF-20";"#F9F8E9";"rgb(249, 248, 233)"
"Paper";"AF-25";"#F1F1E4";"rgb(241, 241, 228)"
"Deep";"AF-30";"#EFEDDC";"rgb(239, 237, 220)"
"Vapor";"AF-35";"#F0EDE0";"rgb(240, 237, 224)"
"Lychee";"AF-40";"#F6EDDD";"rgb(246, 237, 221)"
"Collector's";"AF-45";"#F2EBDD";"rgb(242, 235, 221)"
"Etiquette";"AF-50";"#E6E1D6";"rgb(230, 225, 214)"
"Sonnet";"AF-55";"#E4DCCE";"rgb(228, 220, 206)"
"Peau";"AF-60";"#E6DCCF";"rgb(230, 220, 207)"
"Fossil";"AF-65";"#E4DECF";"rgb(228, 222, 207)"
"Battenberg";"AF-70";"#EAE6D1";"rgb(234, 230, 209)"
"Refined";"AF-75";"#DFE0CE";"rgb(223, 224, 206)"
"Jute";"AF-80";"#DAD3BF";"rgb(218, 211, 191)"
"Frappe";"AF-85";"#E8DCC4";"rgb(232, 220, 196)"
"Harmony";"AF-90";"#DECDB2";"rgb(222, 205, 178)"
"Hush";"AF-95";"#D5CAB0";"rgb(213, 202, 176)"
"Pashmina";"AF-100";"#BCB3A2";"rgb(188, 179, 162)"
"Elk";"AF-105";"#988669";"rgb(152, 134, 105)"
"Coriander";"AF-110";"#958166";"rgb(149, 129, 102)"
"Lodge";"AF-115";"#7E674E";"rgb(126, 103, 78)"
"Tamarind";"AF-120";"#746147";"rgb(116, 97, 71)"
"Morrel";"AF-125";"#B39779";"rgb(179, 151, 121)"
"Truffle";"AF-130";"#C7B198";"rgb(199, 177, 152)"
"Interlude";"AF-135";"#B9A38B";"rgb(185, 163, 139)"
"Pensive";"AF-140";"#BEAB96";"rgb(190, 171, 150)"
"Kangaroo";"AF-145";"#C0B299";"rgb(192, 178, 153)"
"Cotswold";"AF-150";"#B6A796";"rgb(182, 167, 150)"
"Weimaraner";"AF-155";"#A09383";"rgb(160, 147, 131)"
"Carob";"AF-160";"#8D705E";"rgb(141, 112, 94)"
"Kona";"AF-165";"#735742";"rgb(115, 87, 66)"
"French";"AF-170";"#604E44";"rgb(96, 78, 68)"
"Barista";"AF-175";"#59433B";"rgb(89, 67, 59)"
"Wenge";"AF-180";"#3D2E2C";"rgb(61, 46, 44)"
"Venetian";"AF-185";"#C5AA97";"rgb(197, 170, 151)"
"Boudoir";"AF-190";"#DBC3AF";"rgb(219, 195, 175)"
"Terra";"AF-195";"#DEBFA0";"rgb(222, 191, 160)"
"Lingerie";"AF-200";"#D5B696";"rgb(213, 182, 150)"
"Serendipity";"AF-205";"#DAB192";"rgb(218, 177, 146)"
"Milk";"AF-210";"#D4A583";"rgb(212, 165, 131)"
